id_carrera,neumatico,vueltas_uso,tiempo_pitstop_s,temp_pista_c,podio
R2026-00233,Duro,13,3.24,53.0,0
R2026-00234,Medio,35,2.54,18.8,1
R2026-00235,Blando,12,5.04,43.1,0
R2026-00236,Duro,4,6.05,24.8,1
R2026-00237,Duro,35,3.14,47.8,0
R2026-00238,Blando,45,,41.8,1
R2026-00239,,27,NaN,24.3,1
R2026-00240,Blando,15,,44.1,0
R2026-00241,Medio,45,2.73,41.3,0
R2026-00242,Medio,37,3.34,33.8,0
R2026-00243,Medio,44,,52.4,1
R2026-00244,Lluvia,30,4.75,28.5,0
R2026-00245,Duro,7,,33.1,1
R2026-00246,Lluvia,45,5.51,39.0,1
R2026-00247,Lluvia,4,2.55,14.1,1
R2026-00248,Lluvia,42,4.96,44.9,0
R2026-00249,Medio,21,6.49,31.6,1
R2026-00250,Lluvia,34,3.91,NaN,0
R2026-00251,Duro,4,2.34,15.6,1
R2026-00252,Lluvia,23,3.47,50.1,0
R2026-00253,Lluvia,NaN,6.24,34.1,1
R2026-00254,Medio,45,4.43,29.7,0
R2026-00255,Duro,17,3.88,28.9,0
R2026-00256,Lluvia,32,3.75,27.0,1
R2026-00257,Medio,16,4.29,37.3,0
R2026-00258,Medio,24,3.1,17.0,0
R2026-00259,Medio,17,NaN,38.6,0
R2026-00260,Duro,13,5.23,25.7,0
R2026-00261,Lluvia,23,5.17,20.4,1
R2026-00262,Medio,17,5.44,33.1,1
R2026-00263,Blando,39,2.57,27.1,1
R2026-00264,Lluvia,8,5.11,35.0,1
R2026-00265,Duro,-8,6.05,35.0,1
R2026-00266,Medio,6,5.12,24.7,0
R2026-00267,Blando,26,2.6,22.8,1
R2026-00268,Blando,37,,25.8,1
R2026-00269,Medio,26,5.0,33.6,0
R2026-00270,Medio,37,3.84,37.3,1
R2026-00271,Lluvia,11,4.74,15.6,0
R2026-00272,Blando,28,6.39,45.2,0
R2026-00273,Medio,11,6.27,46.1,0
R2026-00274,Blando,38,6.21,34.2,1
R2026-00275,Lluvia,10,NaN,20.7,1
R2026-00276,Duro,41,2.92,45.8,0
R2026-00277,Duro,35,3.67,26.4,1
R2026-00278,Lluvia,25,3.77,40.5,1
R2026-00279,Lluvia,7,3.5,16.1,0
R2026-00280,Lluvia,37,3.57,17.8,1
R2026-00281,,40,2.17,17.6,0
R2026-00282,Blando,23,4.7,31.3,0
R2026-00283,Lluvia,8,4.89,25.0,0
R2026-00284,Blando,30,2.26,29.5,1
R2026-00285,Duro,11,2.7,40.5,1
R2026-00286,Duro,-4,3.66,54.4,0
R2026-00287,Duro,36,NaN,47.2,1
R2026-00288,Blando,29,5.1,43.6,1
R2026-00289,Duro,-12,5.11,35.7,0
R2026-00290,Lluvia,42,6.4,38.8,0
R2026-00291,Medio,9,3.08,15.0,0
R2026-00292,Lluvia,11,4.66,21.2,1
R2026-00293,Lluvia,13,6.3,35.5,0
R2026-00294,Blando,23,3.65,23.6,1
R2026-00295,Medio,24,5.37,44.1,0
R2026-00296,Medio,36,6.13,42.6,1
R2026-00297,Duro,37,6.07,21.9,1
R2026-00298,Duro,18,4.44,17.4,0
R2026-00299,Duro,42,6.07,51.8,0
R2026-00300,Lluvia,22,4.91,44.4,1
R2026-00301,Blando,15,6.16,35.2,0
R2026-00302,Medio,30,2.38,17.9,1
R2026-00303,Medio,37,3.76,26.1,1
R2026-00304,Lluvia,,3.68,47.9,0
R2026-00305,Duro,30,5.62,38.3,0
R2026-00306,Duro,35,3.15,49.6,0
R2026-00307,Blando,11,6.45,16.0,0
R2026-00308,Lluvia,9,6.36,25.5,1
R2026-00309,Duro,30,109.58,40.8,1
R2026-00310,Lluvia,6,NaN,21.7,1
R2026-00311,Lluvia,20,3.76,15.5,0
R2026-00312,Lluvia,10,4.29,42.6,0
R2026-00313,Lluvia,10,4.05,41.6,1
R2026-00314,Medio,7,5.56,38.7,0
R2026-00315,,32,5.4,45.6,1
R2026-00316,Medio,11,4.3,48.9,0
R2026-00317,Blando,30,2.89,33.1,0
R2026-00318,Blando,41,5.53,27.3,1
R2026-00319,Lluvia,22,4.89,45.1,1
R2026-00320,Lluvia,17,6.31,24.2,1
R2026-00321,Lluvia,41,4.18,17.6,0
R2026-00322,Lluvia,32,3.29,23.1,0
R2026-00323,Blando,31,3.24,52.0,0
R2026-00324,Duro,2,3.28,49.1,1
R2026-00325,Medio,18,3.32,22.0,0
R2026-00326,Medio,10,3.82,20.5,0
R2026-00327,Medio,30,5.49,21.7,1
R2026-00328,Duro,37,,15.5,1
R2026-00329,Duro,8,5.74,48.0,0
R2026-00330,Lluvia,9,4.8,34.1,0
R2026-00331,Medio,13,6.16,41.8,1
R2026-00332,Blando,37,4.9,51.3,0
R2026-00333,Medio,12,4.49,18.9,1
R2026-00334,Medio,31,5.49,26.6,1
R2026-00335,Medio,36,6.34,44.5,0
R2026-00336,Duro,3,2.32,52.1,0
R2026-00337,Medio,24,2.11,54.9,0
R2026-00338,Blando,9,3.56,52.7,0
R2026-00339,Duro,27,5.84,53.4,0
R2026-00340,Duro,20,4.64,20.9,0
R2026-00341,Medio,-7,4.91,22.2,0
R2026-00342,Lluvia,11,3.14,28.3,1
R2026-00343,Lluvia,17,2.72,18.1,0
R2026-00344,Lluvia,19,3.67,29.3,0
R2026-00345,Blando,28,3.16,26.7,0
R2026-00346,Lluvia,1,3.15,42.7,1
R2026-00347,Lluvia,4,5.05,41.0,0
R2026-00348,Blando,25,61.32,52.4,0
R2026-00349,Medio,22,NaN,18.1,1
R2026-00350,Blando,45,3.15,54.9,1
R2026-00351,Blando,15,6.33,40.7,0
R2026-00352,Duro,11,5.42,40.2,0
R2026-00353,Duro,2,6.16,17.5,0
R2026-00354,Duro,27,6.0,20.8,0
R2026-00355,Lluvia,24,4.89,38.7,0
R2026-00356,Medio,19,2.69,16.5,0
R2026-00357,Duro,35,4.63,18.2,1
R2026-00358,Blando,13,2.88,24.7,1
R2026-00359,Blando,34,5.27,41.8,0
R2026-00360,Lluvia,5,6.45,29.0,1
R2026-00361,Duro,42,2.22,38.9,1
R2026-00362,Blando,42,6.15,53.1,1
R2026-00363,Duro,34,4.34,38.9,0
R2026-00364,Duro,11,6.25,23.5,1
R2026-00365,Duro,36,3.77,30.4,0
R2026-00366,Duro,5,4.28,52.2,0
R2026-00367,Medio,28,3.02,34.2,0
R2026-00368,Duro,13,2.11,48.8,1
R2026-00369,Lluvia,41,NaN,35.5,1
R2026-00370,Medio,22,2.85,16.0,0
R2026-00371,Blando,9,NaN,16.0,0
R2026-00372,Blando,9,2.91,33.5,0
R2026-00373,Blando,13,,19.2,0
R2026-00374,Blando,7,3.04,24.7,1
R2026-00375,Medio,28,6.23,45.6,0
R2026-00376,Medio,39,2.96,30.0,0
R2026-00377,Duro,38,5.92,27.8,0
R2026-00378,Lluvia,18,3.64,27.2,1
R2026-00379,Lluvia,6,3.23,42.4,1
R2026-00380,Duro,-10,4.83,37.8,1
R2026-00381,Duro,14,3.6,51.4,0
R2026-00382,Lluvia,4,3.52,36.9,0
R2026-00383,Medio,11,3.3,26.7,1
R2026-00384,Duro,32,3.15,49.1,1
R2026-00385,Lluvia,24,5.87,30.2,0
R2026-00386,Duro,8,5.61,21.8,1
R2026-00387,Lluvia,2,3.92,22.3,1
R2026-00388,Blando,26,5.59,22.6,1
R2026-00389,Medio,15,2.19,20.4,0
R2026-00390,Blando,11,4.51,16.9,1
R2026-00391,Medio,9,2.26,40.9,0
R2026-00392,Blando,3,3.67,49.4,1
R2026-00393,Blando,20,3.21,44.6,0
R2026-00394,Blando,33,3.24,36.5,0
R2026-00395,Duro,38,3.34,16.9,0
R2026-00396,Duro,13,,28.4,0
R2026-00397,Medio,27,5.73,46.1,0
R2026-00398,Lluvia,27,4.94,25.3,0
R2026-00399,Medio,23,4.42,52.2,0
R2026-00400,Medio,44,4.33,52.3,0
R2026-00401,Lluvia,8,6.29,27.3,1
R2026-00402,Lluvia,40,5.67,20.4,0
R2026-00403,Lluvia,-6,3.22,40.0,0
R2026-00404,Duro,22,5.56,NaN,0
R2026-00405,Medio,45,6.38,29.2,1
R2026-00406,Blando,28,2.86,33.6,0
R2026-00407,Lluvia,36,2.91,24.4,1
R2026-00408,Lluvia,41,2.12,21.2,0
R2026-00409,Lluvia,41,NaN,25.7,0
R2026-00410,,26,2.5,46.6,0
R2026-00411,Medio,42,2.4,35.4,0
R2026-00412,Medio,19,6.44,40.0,1
R2026-00413,Blando,NaN,3.89,17.6,1
R2026-00414,Blando,28,3.13,48.3,0
R2026-00415,Duro,37,2.6,38.7,0
R2026-00416,Medio,7,2.49,31.7,0
R2026-00417,Medio,,4.73,49.1,0
R2026-00418,Medio,,4.83,46.5,0
R2026-00419,Duro,28,3.55,54.9,0
R2026-00420,Duro,32,4.0,43.4,0
R2026-00421,Medio,8,2.33,46.3,0
R2026-00422,Blando,32,2.43,,0
R2026-00423,Blando,33,6.0,52.6,0
R2026-00424,Medio,30,4.51,48.2,0
R2026-00425,Duro,6,NaN,17.6,0
R2026-00426,Lluvia,22,3.87,28.0,1
R2026-00427,Medio,NaN,3.38,39.2,1
R2026-00428,Medio,8,2.77,19.2,1
R2026-00429,Medio,6,6.47,53.6,0
R2026-00430,Lluvia,1,6.29,25.4,0
R2026-00431,Medio,12,4.55,52.1,0
R2026-00432,Duro,45,6.4,53.9,1
R2026-00433,Duro,5,2.68,21.2,1
R2026-00434,Lluvia,12,2.2,32.7,0
R2026-00435,Blando,9,3.58,40.3,1
R2026-00436,Lluvia,18,2.42,47.3,0
R2026-00437,Blando,39,3.37,21.8,1
R2026-00438,Medio,20,6.07,53.2,1
R2026-00439,Lluvia,5,6.41,27.6,0
R2026-00440,Blando,7,6.14,,1
R2026-00441,Lluvia,19,3.24,49.3,0
R2026-00442,Duro,6,5.43,36.9,0
R2026-00443,Lluvia,30,6.03,14.8,1
R2026-00444,Medio,31,4.34,54.2,1
R2026-00445,Medio,35,4.4,NaN,1
R2026-00446,Lluvia,-6,3.42,51.6,1
R2026-00447,Blando,16,3.59,33.4,0
R2026-00448,Lluvia,16,6.08,47.1,0
R2026-00449,Duro,45,6.16,47.0,0
R2026-00450,Medio,19,3.87,54.7,1
R2026-00451,Medio,2,4.95,40.7,0
R2026-00452,Medio,3,4.03,45.9,1
R2026-00453,Lluvia,14,2.46,41.6,0
R2026-00454,Medio,10,4.61,54.7,0
R2026-00455,Blando,27,3.3,18.2,0
R2026-00456,Medio,39,6.16,16.4,1
R2026-00457,Duro,3,6.38,42.9,0
R2026-00458,Lluvia,39,5.37,27.7,0
R2026-00459,Duro,32,5.34,34.1,0
R2026-00460,Blando,27,3.38,30.3,0
R2026-00461,Medio,15,4.2,23.0,0
R2026-00462,Duro,-11,3.28,26.9,0
R2026-00463,Lluvia,28,5.98,38.6,1
R2026-00464,Blando,22,2.22,49.6,0
R2026-00465,Medio,39,6.3,39.2,1
R2026-00466,Blando,26,5.33,14.3,1
R2026-00467,Lluvia,2,4.2,24.5,1
R2026-00468,Medio,38,6.15,34.0,1
R2026-00469,Duro,15,3.35,17.9,0
R2026-00470,Lluvia,32,5.1,21.2,0
R2026-00471,Duro,45,2.92,42.1,0
R2026-00472,Duro,8,2.71,18.4,1
R2026-00473,Medio,6,6.18,40.9,1
R2026-00474,Duro,44,5.83,29.8,0
R2026-00475,Blando,2,3.7,21.3,1
R2026-00476,Duro,30,4.89,51.0,1
R2026-00477,Duro,9,6.21,39.1,0
R2026-00478,Medio,33,6.24,35.9,0
R2026-00479,Lluvia,4,5.84,37.2,1
R2026-00480,Lluvia,17,3.69,45.4,1
R2026-00481,Blando,37,4.05,18.7,1
R2026-00482,Blando,34,2.94,48.2,1
R2026-00483,Duro,10,2.31,52.3,0
R2026-00484,Lluvia,18,3.02,20.7,1
R2026-00485,Duro,16,3.18,22.5,0
R2026-00486,Blando,20,4.71,21.9,1
R2026-00487,Medio,21,5.26,41.6,1
R2026-00488,Lluvia,38,4.95,20.4,0
R2026-00489,Medio,25,5.43,21.8,1
R2026-00490,Medio,22,5.83,39.9,1
R2026-00491,Lluvia,35,2.26,35.1,1
R2026-00492,Duro,21,3.12,26.7,0
R2026-00493,Blando,31,6.43,22.3,0
R2026-00494,Medio,22,4.28,25.0,1
R2026-00495,Medio,8,4.53,14.9,0
R2026-00496,Lluvia,-6,6.28,44.3,0
R2026-00497,Blando,28,2.61,16.5,1
R2026-00498,Duro,2,3.01,33.8,0
R2026-00499,Medio,8,5.63,32.5,0
R2026-00500,Blando,14,3.42,39.5,0
R2026-00501,Blando,7,4.75,32.7,0
R2026-00502,Medio,21,5.43,40.3,1
R2026-00503,Medio,7,5.22,53.7,0
R2026-00504,Lluvia,13,6.02,31.9,0
R2026-00505,Medio,7,5.7,37.2,1
R2026-00506,Duro,6,3.03,42.8,0
R2026-00507,Duro,25,,54.6,1
R2026-00508,Blando,13,2.56,41.1,1
R2026-00509,Blando,38,3.7,,1
R2026-00510,Lluvia,3,3.44,44.1,0
R2026-00511,Blando,9,6.33,40.7,1
R2026-00512,Lluvia,29,5.68,26.1,1
R2026-00513,Medio,21,2.59,52.7,1
R2026-00514,Blando,30,6.11,23.2,1
R2026-00515,Medio,30,2.65,38.3,1
R2026-00516,Duro,45,5.43,44.2,0
R2026-00517,Lluvia,31,4.52,47.4,0
R2026-00518,Blando,35,3.27,48.6,0
R2026-00519,Blando,6,5.25,52.8,0
R2026-00520,Duro,38,6.44,40.9,1
R2026-00521,Medio,44,6.18,51.0,0
R2026-00522,Medio,7,2.64,52.5,1
R2026-00523,,25,2.46,19.6,1
R2026-00524,Duro,8,,20.9,0
R2026-00525,Lluvia,33,2.57,49.4,0
R2026-00526,Lluvia,19,5.37,30.7,1
R2026-00527,Blando,20,4.67,46.2,1
R2026-00528,Duro,8,2.31,NaN,0
R2026-00529,Lluvia,7,3.3,52.1,0
R2026-00530,Duro,32,5.9,54.4,0
R2026-00531,Medio,43,2.87,25.5,1
R2026-00532,Medio,35,4.01,40.5,0
R2026-00533,Blando,42,5.66,46.4,1
R2026-00534,Blando,1,4.42,22.1,0
R2026-00535,Medio,23,5.23,20.9,0
R2026-00536,Blando,7,3.86,51.1,0
R2026-00537,Blando,30,4.63,52.1,0
R2026-00538,Duro,32,6.48,34.3,1
R2026-00539,Duro,31,3.17,37.8,0
R2026-00540,Blando,44,6.16,47.7,1
R2026-00541,Medio,38,4.1,38.3,1
R2026-00542,Duro,5,6.47,53.8,0
R2026-00543,Blando,30,5.89,35.8,0
R2026-00544,Blando,35,3.36,16.9,1
R2026-00545,Blando,8,5.27,39.0,0
R2026-00546,,23,2.93,47.9,0
R2026-00547,Blando,18,3.21,47.5,0
R2026-00548,Blando,16,3.04,47.5,0
R2026-00549,Blando,41,6.2,34.2,0
R2026-00550,Blando,5,2.61,30.4,0
R2026-00551,Lluvia,13,5.14,17.8,1
R2026-00552,Medio,36,2.45,31.6,1
R2026-00553,Duro,44,5.12,20.2,1
R2026-00554,Duro,-4,6.14,32.1,1
R2026-00555,Lluvia,38,4.27,52.9,1
R2026-00556,Lluvia,32,2.34,18.6,1
R2026-00557,Medio,7,2.14,48.8,1
R2026-00558,Lluvia,11,6.0,38.5,0
R2026-00559,Medio,44,2.77,33.5,0
R2026-00560,Blando,2,3.53,48.4,0
R2026-00561,Lluvia,43,5.76,54.1,1
R2026-00562,Duro,42,6.42,18.2,1
R2026-00563,Blando,11,3.35,42.7,0
R2026-00564,Lluvia,33,3.94,31.8,0
R2026-00565,Duro,31,4.11,32.9,1
R2026-00566,Blando,22,4.71,22.2,0
R2026-00567,Lluvia,32,3.73,NaN,1
R2026-00568,Blando,19,4.47,46.7,0
R2026-00569,Lluvia,45,4.27,42.1,1
R2026-00570,,27,3.33,15.5,1
R2026-00571,Lluvia,43,4.6,43.6,0
R2026-00572,Blando,42,6.28,35.4,1
R2026-00573,Lluvia,11,3.99,17.2,0
R2026-00574,Duro,25,2.64,14.5,0
R2026-00575,Lluvia,23,5.84,35.1,0
R2026-00576,Medio,2,5.25,47.8,0
R2026-00577,,13,5.99,24.5,0
R2026-00578,Blando,14,2.5,35.2,1
R2026-00579,Lluvia,2,5.07,42.8,0
R2026-00580,Medio,2,4.52,46.7,1
R2026-00581,,42,71.03,14.1,1
R2026-00582,Blando,29,5.36,19.1,1
R2026-00583,Blando,11,4.4,36.1,1
R2026-00584,Medio,33,6.26,29.1,0
R2026-00585,Duro,39,4.48,53.0,0
R2026-00586,Blando,NaN,109.09,35.0,0
R2026-00587,Medio,1,3.19,53.2,0
R2026-00588,Duro,28,6.18,33.5,0
R2026-00589,Duro,25,5.83,49.1,0
R2026-00590,Duro,37,5.55,54.5,0
R2026-00591,Medio,6,5.82,33.0,1
R2026-00592,Medio,27,3.29,54.4,0
R2026-00593,Blando,39,3.84,33.0,0
R2026-00594,Duro,35,4.29,42.6,0
R2026-00595,Duro,NaN,4.58,47.8,1
