cliente_id,edad,tickets_soporte,metodo_pago,gasto_total,abandono
CLI-00240,22,0,PayPal,1447.86,1
CLI-00241,27,13,Tarjeta,4206.13,1
CLI-00242,68,7,Tarjeta,7637.1,1
CLI-00243,22,,Tarjeta,2887.06,1
CLI-00244,62,1,Tarjeta,3865.03,0
CLI-00245,41,15,PayPal,1207.34,1
CLI-00246,64,4,Transferencia,6539.45,1
CLI-00247,19,19,PayPal,2159.25,1
CLI-00248,36,16,Transferencia,2672.96,1
CLI-00249,210,7,Tarjeta,264.18,0
CLI-00250,31,20,Tarjeta,675.01,0
CLI-00251,64,11,Transferencia,3579.23,1
CLI-00252,67,9,,2130.18,0
CLI-00253,30,20,Transferencia,5462.33,1
CLI-00254,,6,Tarjeta,3995.64,1
CLI-00255,38,19,Transferencia,4163.74,1
CLI-00256,54,0,Tarjeta,3237.19,0
CLI-00257,20,19,Tarjeta,5227.9,1
CLI-00258,52,12,Tarjeta,3716.79,1
CLI-00259,21,5,PayPal,146.95,0
CLI-00260,32,10,PayPal,5602.72,1
CLI-00261,45,2,Tarjeta,3188.33,0
CLI-00262,59,13,Transferencia,6418.28,0
CLI-00263,37,2,Transferencia,6883.7,1
CLI-00264,76,20,Tarjeta,NaN,0
CLI-00265,59,11,Transferencia,,0
CLI-00266,66,3,PayPal,7489.8,0
CLI-00267,25,5,Tarjeta,2895.82,0
CLI-00268,79,2,Tarjeta,5332.18,1
CLI-00269,19,17,PayPal,1084.93,1
CLI-00270,35,10,Transferencia,1206.67,0
CLI-00271,73,12,Transferencia,231.42,0
CLI-00272,49,15,Tarjeta,5140.52,0
CLI-00273,78,12,Tarjeta,3465.55,1
CLI-00274,72,5,Transferencia,2565.06,0
CLI-00275,23,4,PayPal,5257.6,0
CLI-00276,22,9,Transferencia,59.33,0
CLI-00277,72,10,Tarjeta,7055.37,0
CLI-00278,-5,18,PayPal,6518.04,1
CLI-00279,190,10,Tarjeta,6518.48,0
CLI-00280,47,0,Transferencia,3482.89,0
CLI-00281,32,NaN,PayPal,6435.3,1
CLI-00282,66,1,Tarjeta,1489.78,0
CLI-00283,55,17,PayPal,5060.09,0
CLI-00284,0,12,PayPal,NaN,0
CLI-00285,46,5,Tarjeta,17.78,1
CLI-00286,54,17,Transferencia,5019.97,1
CLI-00287,22,1,Transferencia,2281.87,1
CLI-00288,52,13,PayPal,3116.22,1
CLI-00289,18,16,Transferencia,7179.53,0
CLI-00290,NaN,15,Transferencia,NaN,0
CLI-00291,40,6,,6685.04,0
CLI-00292,22,11,PayPal,2307.13,1
CLI-00293,44,12,Transferencia,1879.01,0
CLI-00294,60,14,Transferencia,694.8,1
CLI-00295,37,1,Tarjeta,2793.64,1
CLI-00296,35,NaN,PayPal,-61.59,1
CLI-00297,19,0,Transferencia,3083.56,1
CLI-00298,35,7,Tarjeta,409.08,0
CLI-00299,46,0,Transferencia,3152.11,0
CLI-00300,71,5,Transferencia,5072.87,1
CLI-00301,42,12,Transferencia,6522.72,0
CLI-00302,47,NaN,PayPal,6605.24,0
CLI-00303,74,4,Tarjeta,3402.08,1
CLI-00304,33,12,PayPal,2442.55,1
CLI-00305,60,20,Transferencia,,1
CLI-00306,69,11,PayPal,6981.05,1
CLI-00307,54,10,Tarjeta,4974.79,1
CLI-00308,52,8,Transferencia,670.63,1
CLI-00309,73,20,PayPal,2847.72,0
CLI-00310,60,17,Transferencia,791.48,1
CLI-00311,19,9,Transferencia,336.84,1
CLI-00312,27,7,Transferencia,7413.52,1
CLI-00313,78,17,,4332.68,0
CLI-00314,75,18,Transferencia,106.89,0
CLI-00315,25,6,Transferencia,5834.61,0
CLI-00316,79,15,PayPal,4212.27,1
CLI-00317,42,15,PayPal,544.42,0
CLI-00318,32,20,PayPal,3030.3,1
CLI-00319,72,19,Tarjeta,5064.51,1
CLI-00320,55,3,Transferencia,7111.39,1
CLI-00321,73,3,Transferencia,7087.15,1
CLI-00322,75,17,Tarjeta,4230.85,0
CLI-00323,41,4,Tarjeta,106.39,1
CLI-00324,210,12,Tarjeta,2009.88,1
CLI-00325,76,20,PayPal,2407.57,1
CLI-00326,18,5,PayPal,5564.06,0
CLI-00327,56,3,PayPal,NaN,1
CLI-00328,55,14,PayPal,6501.93,1
CLI-00329,78,4,Transferencia,2100.58,0
CLI-00330,NaN,20,Tarjeta,7472.73,1
CLI-00331,65,18,Transferencia,618.43,1
CLI-00332,77,,PayPal,2389.03,0
CLI-00333,NaN,18,Tarjeta,7861.79,0
CLI-00334,67,18,Transferencia,1520.61,1
CLI-00335,18,1,Transferencia,637.18,0
CLI-00336,23,20,Tarjeta,4452.07,0
CLI-00337,66,2,Tarjeta,1277.53,0
CLI-00338,51,3,Transferencia,5391.43,0
CLI-00339,34,2,Tarjeta,3377.66,0
CLI-00340,78,10,Transferencia,4636.3,0
CLI-00341,55,5,PayPal,7188.04,1
CLI-00342,39,14,Tarjeta,4974.66,1
CLI-00343,40,20,PayPal,,0
CLI-00344,33,12,,-199.39,0
CLI-00345,58,3,PayPal,6324.69,0
CLI-00346,45,3,PayPal,3574.45,0
CLI-00347,150,19,Transferencia,,1
CLI-00348,29,1,Transferencia,5506.35,1
CLI-00349,190,2,PayPal,4014.24,0
CLI-00350,64,14,PayPal,3519.58,1
CLI-00351,28,4,Transferencia,941.77,0
CLI-00352,51,2,PayPal,7870.88,1
CLI-00353,74,12,,1030.22,1
CLI-00354,55,2,Transferencia,3381.37,0
CLI-00355,50,17,PayPal,5840.71,1
CLI-00356,34,4,Tarjeta,4412.36,1
CLI-00357,28,11,PayPal,6712.63,0
CLI-00358,30,6,PayPal,,0
CLI-00359,41,6,Tarjeta,6369.09,1
CLI-00360,51,20,Tarjeta,5219.94,1
CLI-00361,79,19,PayPal,2174.4,1
CLI-00362,42,17,PayPal,3041.57,1
CLI-00363,58,14,Tarjeta,3272.24,0
CLI-00364,69,13,Tarjeta,4865.59,1
CLI-00365,60,16,Tarjeta,4336.37,1
CLI-00366,53,19,Tarjeta,263.66,0
CLI-00367,47,2,Transferencia,5175.73,0
CLI-00368,57,0,PayPal,,0
CLI-00369,27,3,PayPal,1457.08,1
CLI-00370,22,17,Tarjeta,1800.76,1
CLI-00371,55,3,PayPal,7779.35,1
CLI-00372,77,20,Transferencia,1587.72,1
CLI-00373,37,6,Tarjeta,3044.19,0
CLI-00374,34,3,PayPal,2747.22,1
CLI-00375,47,10,PayPal,358.75,0
CLI-00376,22,19,PayPal,5034.38,0
CLI-00377,32,1,PayPal,4979.44,1
CLI-00378,27,8,PayPal,4651.82,1
CLI-00379,73,9,PayPal,4756.75,0
CLI-00380,79,0,Tarjeta,6269.07,1
CLI-00381,46,7,,765.28,0
CLI-00382,68,2,Tarjeta,3938.75,1
CLI-00383,57,6,Tarjeta,1578.39,1
CLI-00384,23,8,Tarjeta,5876.56,0
CLI-00385,NaN,16,Tarjeta,3149.96,0
CLI-00386,61,15,Tarjeta,,1
CLI-00387,48,18,Transferencia,2240.02,0
CLI-00388,39,15,Transferencia,-388.71,0
CLI-00389,76,19,Tarjeta,3876.1,0
CLI-00390,47,13,Transferencia,5179.21,1
CLI-00391,40,9,PayPal,4869.61,0
CLI-00392,20,7,PayPal,5975.78,0
CLI-00393,30,13,Tarjeta,6474.99,0
CLI-00394,47,13,Transferencia,1823.24,1
CLI-00395,76,14,Transferencia,2402.46,0
CLI-00396,68,13,PayPal,1464.22,1
CLI-00397,NaN,7,PayPal,5867.96,0
CLI-00398,76,11,PayPal,5753.73,0
CLI-00399,77,7,PayPal,5156.05,1
CLI-00400,49,5,PayPal,NaN,0
CLI-00401,72,2,,3918.84,0
CLI-00402,47,9,Transferencia,7485.14,0
CLI-00403,76,8,Transferencia,5893.24,1
CLI-00404,22,9,Transferencia,5849.4,0
CLI-00405,NaN,5,Tarjeta,NaN,1
CLI-00406,79,3,Tarjeta,,1
CLI-00407,51,4,Tarjeta,3153.22,1
CLI-00408,50,16,PayPal,4358.51,0
CLI-00409,,6,Transferencia,4551.62,1
CLI-00410,35,8,Tarjeta,1620.66,1
CLI-00411,71,19,Transferencia,3141.25,1
CLI-00412,77,2,PayPal,2357.59,0
CLI-00413,71,16,Tarjeta,4284.68,1
CLI-00414,76,17,Transferencia,4159.11,0
CLI-00415,59,8,PayPal,1139.98,0
CLI-00416,77,11,PayPal,7713.01,1
CLI-00417,30,3,Transferencia,2665.93,1
CLI-00418,40,9,Tarjeta,4979.01,0
CLI-00419,63,8,Tarjeta,1012.39,0
CLI-00420,51,9,PayPal,1567.19,0
CLI-00421,25,17,PayPal,1501.92,1
CLI-00422,73,7,Transferencia,6208.23,1
CLI-00423,40,20,PayPal,6984.68,1
CLI-00424,40,11,PayPal,6372.59,0
CLI-00425,79,4,Tarjeta,5210.56,0
CLI-00426,70,19,PayPal,1413.9,0
CLI-00427,56,0,Tarjeta,1902.7,0
CLI-00428,45,19,Transferencia,-62.15,0
CLI-00429,23,NaN,PayPal,2194.52,0
CLI-00430,190,7,,6142.94,0
CLI-00431,25,2,Tarjeta,1276.75,0
CLI-00432,44,9,PayPal,6402.34,1
CLI-00433,35,18,,1822.31,1
CLI-00434,29,16,Tarjeta,7272.89,1
CLI-00435,65,9,Tarjeta,7517.61,1
CLI-00436,NaN,16,PayPal,3606.81,0
CLI-00437,26,11,PayPal,3073.58,1
CLI-00438,37,12,PayPal,NaN,1
CLI-00439,69,11,PayPal,1836.59,1
CLI-00440,80,6,PayPal,3948.19,0
CLI-00441,58,9,Transferencia,2292.5,0
CLI-00442,22,8,PayPal,6246.19,0
CLI-00443,66,16,Transferencia,2566.95,0
CLI-00444,58,11,Tarjeta,5762.48,0
CLI-00445,34,17,Transferencia,7102.67,0
CLI-00446,78,15,Tarjeta,1865.33,1
CLI-00447,40,4,,893.35,1
CLI-00448,60,1,Transferencia,564.22,0
CLI-00449,190,12,,2851.76,0
CLI-00450,36,18,PayPal,5323.21,1
CLI-00451,23,5,Transferencia,1284.69,1
CLI-00452,NaN,17,Transferencia,3156.64,1
CLI-00453,77,14,PayPal,367.83,1
CLI-00454,66,7,Tarjeta,6513.1,1
CLI-00455,52,0,PayPal,5195.27,1
CLI-00456,42,4,Transferencia,5683.03,1
CLI-00457,79,18,,1643.47,1
CLI-00458,75,12,Tarjeta,2943.64,1
CLI-00459,18,5,PayPal,-498.31,1
CLI-00460,34,5,Tarjeta,4684.22,1
CLI-00461,47,9,Transferencia,5160.37,0
CLI-00462,33,1,PayPal,900.9,1
CLI-00463,25,8,PayPal,6677.42,1
CLI-00464,53,15,Tarjeta,203.11,0
CLI-00465,18,12,Tarjeta,4965.48,0
CLI-00466,72,8,Transferencia,2445.68,1
CLI-00467,NaN,14,Tarjeta,-283.68,0
CLI-00468,53,6,Transferencia,2180.46,0
CLI-00469,29,10,Tarjeta,182.89,1
CLI-00470,27,6,PayPal,156.82,1
CLI-00471,59,15,PayPal,6637.15,1
CLI-00472,66,6,PayPal,4596.39,0
CLI-00473,66,20,Tarjeta,5157.75,1
CLI-00474,71,5,Transferencia,,1
CLI-00475,58,18,PayPal,6180.73,1
CLI-00476,24,11,Tarjeta,4384.98,1
CLI-00477,32,2,PayPal,5712.52,1
CLI-00478,67,5,Tarjeta,7832.91,0
CLI-00479,59,6,PayPal,2571.92,1
CLI-00480,-5,15,Transferencia,6053.07,1
CLI-00481,51,20,Tarjeta,7924.69,0
CLI-00482,79,20,Tarjeta,7863.52,0
CLI-00483,71,9,Tarjeta,6842.35,1
CLI-00484,50,7,Transferencia,3635.82,1
CLI-00485,39,0,Tarjeta,5438.14,0
CLI-00486,53,6,Transferencia,,0
CLI-00487,54,19,Transferencia,4857.52,1
CLI-00488,37,12,PayPal,803.17,0
CLI-00489,41,14,PayPal,3002.27,0
CLI-00490,68,14,Transferencia,451.88,0
CLI-00491,33,7,Transferencia,6181.97,0
CLI-00492,25,8,Tarjeta,5120.81,1
CLI-00493,24,0,PayPal,333.19,1
CLI-00494,55,20,Transferencia,3891.25,0
CLI-00495,35,17,Tarjeta,1823.19,0
CLI-00496,68,4,PayPal,1487.04,1
CLI-00497,54,17,PayPal,1451.18,0
CLI-00498,50,4,PayPal,5171.86,1
CLI-00499,,2,Transferencia,4756.04,0
CLI-00500,30,3,PayPal,1800.88,0
CLI-00501,27,0,Transferencia,1258.05,1
CLI-00502,78,12,Tarjeta,3344.11,0
CLI-00503,78,4,PayPal,3541.93,1
CLI-00504,67,14,PayPal,5445.82,0
CLI-00505,42,20,Tarjeta,6096.03,1
CLI-00506,18,15,PayPal,4426.92,0
CLI-00507,70,16,PayPal,6073.59,0
CLI-00508,67,7,PayPal,7373.06,0
CLI-00509,-5,19,PayPal,5688.28,0
CLI-00510,68,5,PayPal,6924.46,0
CLI-00511,44,19,Tarjeta,NaN,0
CLI-00512,51,20,Tarjeta,7690.53,0
CLI-00513,48,19,PayPal,6241.24,0
CLI-00514,43,15,Transferencia,7461.6,0
CLI-00515,24,8,Tarjeta,123.22,1
CLI-00516,32,12,PayPal,2129.08,1
CLI-00517,22,15,PayPal,1884.1,0
CLI-00518,18,10,Transferencia,1589.01,1
CLI-00519,49,13,PayPal,588.79,1
CLI-00520,42,NaN,PayPal,1714.62,0
CLI-00521,54,15,PayPal,751.14,0
CLI-00522,40,20,Transferencia,2420.88,1
CLI-00523,19,20,Transferencia,4697.71,0
CLI-00524,28,11,Transferencia,807.5,1
CLI-00525,45,4,Transferencia,4368.85,1
CLI-00526,78,11,Transferencia,4970.43,0
CLI-00527,190,18,Transferencia,872.42,0
CLI-00528,73,15,Tarjeta,NaN,0
CLI-00529,52,17,PayPal,2019.63,1
CLI-00530,33,1,Transferencia,5129.89,0
CLI-00531,61,5,PayPal,7179.68,0
CLI-00532,69,17,PayPal,3861.8,0
CLI-00533,22,7,Tarjeta,6936.35,1
CLI-00534,26,4,PayPal,5843.52,1
CLI-00535,40,18,Transferencia,1522.17,0
CLI-00536,27,2,Transferencia,7442.18,0
CLI-00537,20,6,PayPal,7767.94,1
CLI-00538,45,5,Tarjeta,430.28,0
CLI-00539,20,13,PayPal,914.42,1
CLI-00540,66,4,Transferencia,3426.35,0
CLI-00541,24,7,Tarjeta,4826.06,1
CLI-00542,29,16,Transferencia,4248.92,1
CLI-00543,210,19,PayPal,1931.91,0
CLI-00544,150,12,Tarjeta,3679.85,1
CLI-00545,52,15,Transferencia,4219.67,0
CLI-00546,62,11,Transferencia,5820.47,1
CLI-00547,,14,Tarjeta,4013.88,0
CLI-00548,79,1,,1235.5,1
CLI-00549,37,16,Transferencia,5243.82,0
CLI-00550,31,8,Tarjeta,6561.76,1
CLI-00551,66,20,Tarjeta,1997.01,1
CLI-00552,56,12,Tarjeta,1730.48,1
CLI-00553,43,19,PayPal,2730.02,1
CLI-00554,70,12,Tarjeta,7764.36,1
CLI-00555,19,12,PayPal,151.16,1
CLI-00556,42,13,Transferencia,1310.13,1
CLI-00557,31,15,Transferencia,3292.64,0
CLI-00558,44,11,Transferencia,16.2,0
CLI-00559,58,12,,2190.27,1
CLI-00560,75,3,Transferencia,3070.7,1
CLI-00561,68,10,Tarjeta,4813.92,0
CLI-00562,70,9,Tarjeta,7187.15,1
CLI-00563,80,2,Tarjeta,1300.3,1
CLI-00564,20,11,PayPal,6236.63,1
CLI-00565,22,14,Transferencia,695.0,1
CLI-00566,21,20,PayPal,874.96,1
CLI-00567,51,18,PayPal,1253.62,1
CLI-00568,60,13,Tarjeta,1598.76,0
CLI-00569,31,13,PayPal,6522.39,1
CLI-00570,41,19,Transferencia,4538.24,0
CLI-00571,52,18,Tarjeta,4603.0,0
CLI-00572,60,19,Transferencia,1924.62,0
CLI-00573,49,5,Tarjeta,3335.12,0
CLI-00574,65,19,PayPal,2369.24,1
CLI-00575,40,14,PayPal,3970.97,0
CLI-00576,24,8,Tarjeta,7471.31,1
CLI-00577,21,11,Transferencia,2963.86,0
CLI-00578,46,1,Transferencia,5376.79,0
CLI-00579,36,11,PayPal,2829.02,0
CLI-00580,65,13,PayPal,3885.94,0
CLI-00581,23,13,Transferencia,1892.55,1
CLI-00582,79,12,Tarjeta,2770.27,0
CLI-00583,31,11,Tarjeta,4723.16,0
CLI-00584,48,6,Tarjeta,3842.41,1
CLI-00585,77,2,Transferencia,5752.54,1
CLI-00586,75,7,PayPal,5950.39,1
CLI-00587,64,7,Transferencia,5242.94,0
CLI-00588,54,5,Transferencia,2090.09,1
CLI-00589,29,14,Tarjeta,152.77,0
CLI-00590,30,8,PayPal,-404.51,0
CLI-00591,78,17,Transferencia,6972.45,0
CLI-00592,73,7,Transferencia,6134.04,1
