nodo_id,distro_linux,uso_cpu_pct,uso_ram_gb,temperatura_c,fallo_sistema
SRV-00089,Arch,71.3,4.3,69.4,1
SRV-00090,CachyOS,28.2,18.8,60.6,0
SRV-00091,,30.9,,78.0,1
SRV-00092,Ubuntu,43.9,28.0,70.9,0
SRV-00093,CachyOS,81.9,16.3,63.1,1
SRV-00094,Ubuntu,51.0,23.0,82.9,0
SRV-00095,Fedora,75.0,32.1,78.9,1
SRV-00096,Arch,16.5,18.3,62.0,1
SRV-00097,Ubuntu,61.0,50.9,58.1,1
SRV-00098,Ubuntu,45.3,6.3,30.6,0
SRV-00099,Arch,39.2,40.7,50.1,0
SRV-00100,Fedora,90.0,9.1,33.7,0
SRV-00101,Ubuntu,64.0,12.4,91.5,0
SRV-00102,Ubuntu,50.7,42.7,69.4,0
SRV-00103,Ubuntu,41.4,19.0,58.1,1
SRV-00104,Fedora,37.3,18.8,63.3,0
SRV-00105,Ubuntu,63.6,54.3,47.1,0
SRV-00106,Ubuntu,92.9,2.7,61.6,0
SRV-00107,Ubuntu,82.6,19.1,74.6,0
SRV-00108,Ubuntu,26.6,34.2,47.3,1
SRV-00109,CachyOS,59.3,10.0,69.2,0
SRV-00110,Arch,8.5,35.9,59.5,0
SRV-00111,Ubuntu,35.1,47.3,31.0,1
SRV-00112,CachyOS,62.6,29.8,30.9,1
SRV-00113,CachyOS,26.3,50.2,50.2,1
SRV-00114,CachyOS,34.5,51.2,33.5,0
SRV-00115,Arch,11.8,46.2,57.7,1
SRV-00116,Ubuntu,9.2,43.8,NaN,0
SRV-00117,Arch,879.8,29.3,57.7,1
SRV-00118,Fedora,94.2,58.6,79.9,1
SRV-00119,Fedora,83.9,6.5,84.6,1
SRV-00120,Fedora,70.3,33.1,NaN,1
SRV-00121,Fedora,60.7,46.3,79.5,0
SRV-00122,Arch,14.3,49.4,61.7,1
SRV-00123,Arch,91.7,18.9,41.2,0
SRV-00124,Fedora,58.8,57.8,89.9,1
SRV-00125,CachyOS,61.3,41.4,44.4,0
SRV-00126,CachyOS,48.5,46.3,85.7,0
SRV-00127,CachyOS,13.8,60.6,56.0,1
SRV-00128,Fedora,49.8,2.5,61.9,0
SRV-00129,CachyOS,29.4,17.7,55.0,1
SRV-00130,Ubuntu,39.1,40.3,36.6,1
SRV-00131,Fedora,NaN,46.0,62.8,1
SRV-00132,Arch,59.0,36.5,29.1,1
SRV-00133,Ubuntu,59.3,37.4,31.4,1
SRV-00134,Fedora,,20.8,74.3,0
SRV-00135,Fedora,55.8,61.3,63.7,1
SRV-00136,Fedora,93.9,62.9,75.2,1
SRV-00137,CachyOS,88.0,10.2,92.0,1
SRV-00138,Arch,91.6,38.0,72.9,1
SRV-00139,CachyOS,808.3,59.5,90.6,1
SRV-00140,Ubuntu,89.2,46.6,89.2,0
SRV-00141,CachyOS,77.6,19.2,48.0,1
SRV-00142,CachyOS,87.4,52.0,,1
SRV-00143,Fedora,18.8,33.5,72.8,0
SRV-00144,,38.8,37.7,45.5,1
SRV-00145,CachyOS,67.9,44.5,91.0,1
SRV-00146,Arch,41.9,42.8,44.6,1
SRV-00147,Arch,9.5,32.8,38.0,0
SRV-00148,CachyOS,10.7,33.3,31.9,1
SRV-00149,Ubuntu,73.6,5.0,NaN,1
SRV-00150,Fedora,75.5,63.5,86.3,0
SRV-00151,Arch,13.4,62.7,78.7,1
SRV-00152,Fedora,25.8,46.7,82.2,0
SRV-00153,Ubuntu,11.7,4.1,55.0,0
SRV-00154,Arch,24.5,49.7,43.9,1
SRV-00155,Ubuntu,55.4,43.8,31.1,1
SRV-00156,CachyOS,16.3,54.5,75.4,1
SRV-00157,Fedora,39.3,29.3,63.9,0
SRV-00158,Fedora,79.2,14.2,48.3,0
SRV-00159,CachyOS,89.8,16.1,47.0,1
SRV-00160,CachyOS,46.7,21.2,49.0,0
SRV-00161,CachyOS,30.3,16.5,91.2,1
SRV-00162,Arch,18.2,35.2,31.9,0
SRV-00163,CachyOS,15.2,14.8,32.1,1
SRV-00164,,664.5,34.8,61.6,0
SRV-00165,Ubuntu,52.3,23.3,33.3,0
SRV-00166,Ubuntu,64.8,24.9,31.8,1
SRV-00167,Arch,56.3,3.7,NaN,0
SRV-00168,Arch,725.4,20.8,67.3,0
SRV-00169,Fedora,56.4,25.2,81.0,1
SRV-00170,CachyOS,24.3,38.5,49.9,0
SRV-00171,CachyOS,43.5,40.0,75.8,0
SRV-00172,Arch,36.6,49.0,33.8,0
SRV-00173,Arch,55.2,1.8,80.2,0
SRV-00174,Fedora,67.8,10.2,46.5,0
SRV-00175,CachyOS,59.0,60.8,69.6,0
SRV-00176,Fedora,48.0,47.3,92.8,1
SRV-00177,Fedora,58.9,61.0,75.5,1
SRV-00178,Fedora,62.8,50.7,94.4,1
SRV-00179,Arch,69.4,7.9,72.5,1
SRV-00180,Arch,672.2,33.2,66.9,0
SRV-00181,Ubuntu,48.3,53.4,51.3,1
SRV-00182,CachyOS,71.3,NaN,51.0,0
SRV-00183,Fedora,33.8,40.7,72.0,1
SRV-00184,CachyOS,2.4,51.1,81.6,0
SRV-00185,CachyOS,52.7,38.0,84.6,1
SRV-00186,Ubuntu,66.5,24.5,54.0,1
SRV-00187,Fedora,55.3,29.4,52.1,1
SRV-00188,CachyOS,41.9,2.9,47.6,1
SRV-00189,CachyOS,54.8,52.9,83.1,1
SRV-00190,Fedora,30.6,52.5,94.6,1
SRV-00191,CachyOS,17.9,4.7,46.8,1
SRV-00192,Ubuntu,15.0,18.5,75.0,0
SRV-00193,CachyOS,49.0,29.5,87.0,1
SRV-00194,CachyOS,33.4,47.0,72.5,0
SRV-00195,Fedora,49.5,9.2,NaN,1
SRV-00196,,91.2,28.0,88.9,1
SRV-00197,Arch,26.0,26.0,74.9,0
SRV-00198,Ubuntu,,44.8,94.2,1
SRV-00199,Ubuntu,11.9,52.2,71.0,0
SRV-00200,Fedora,62.3,55.2,34.7,1
SRV-00201,Fedora,25.8,46.4,91.1,0
SRV-00202,Fedora,73.8,61.1,35.6,0
SRV-00203,Arch,14.7,44.0,431.1,1
SRV-00204,Ubuntu,93.1,49.3,55.0,0
SRV-00205,Fedora,95.5,49.1,71.1,0
SRV-00206,Ubuntu,90.8,43.0,,1
SRV-00207,Arch,18.0,56.8,30.0,0
SRV-00208,Arch,7.3,49.7,,0
SRV-00209,CachyOS,36.9,3.2,75.8,1
SRV-00210,Ubuntu,56.9,15.1,31.1,1
SRV-00211,CachyOS,2.8,40.2,67.6,0
SRV-00212,CachyOS,4.3,1.6,78.8,0
SRV-00213,Fedora,42.3,18.6,43.5,1
SRV-00214,Ubuntu,57.8,38.3,72.4,1
SRV-00215,Arch,32.5,50.1,38.4,1
SRV-00216,Fedora,45.4,51.9,75.2,0
SRV-00217,Fedora,95.0,52.7,91.8,0
SRV-00218,Fedora,13.7,13.5,74.0,0
SRV-00219,Ubuntu,21.0,54.4,36.2,1
SRV-00220,CachyOS,49.6,58.2,57.9,1
SRV-00221,CachyOS,7.9,56.7,70.3,1
SRV-00222,CachyOS,35.0,2.6,30.0,1
SRV-00223,Fedora,95.5,52.4,31.7,1
SRV-00224,Fedora,18.9,NaN,74.9,0
SRV-00225,CachyOS,570.2,NaN,60.0,1
SRV-00226,Arch,7.7,8.0,52.4,0
SRV-00227,Arch,15.1,61.5,39.7,1
SRV-00228,Fedora,38.3,1.1,66.4,0
SRV-00229,Fedora,63.4,5.9,49.4,1
SRV-00230,Arch,22.1,46.4,57.4,1
SRV-00231,CachyOS,11.7,44.3,32.9,0
SRV-00232,Fedora,87.2,62.6,94.0,0
SRV-00233,CachyOS,17.1,44.9,76.9,0
SRV-00234,CachyOS,16.7,42.7,41.4,0
SRV-00235,Ubuntu,31.6,6.7,40.4,1
SRV-00236,Arch,23.7,43.1,51.0,0
SRV-00237,CachyOS,94.7,15.8,54.5,0
SRV-00238,CachyOS,18.6,8.9,94.2,1
SRV-00239,Ubuntu,10.4,33.7,28.8,0
SRV-00240,Fedora,56.4,7.7,80.6,1
SRV-00241,CachyOS,56.9,39.9,54.9,0
SRV-00242,Arch,88.1,18.7,74.6,1
SRV-00243,Arch,27.9,14.3,77.6,0
SRV-00244,CachyOS,NaN,13.1,84.1,0
SRV-00245,CachyOS,NaN,24.5,39.9,0
SRV-00246,Arch,73.9,11.3,92.6,1
SRV-00247,Ubuntu,85.0,9.3,81.7,1
SRV-00248,CachyOS,83.8,33.8,67.2,1
SRV-00249,Arch,30.7,41.4,45.5,0
SRV-00250,Fedora,88.4,42.6,76.3,1
SRV-00251,Ubuntu,58.0,45.9,70.8,1
SRV-00252,Fedora,30.2,36.2,91.4,0
SRV-00253,Arch,42.4,30.2,31.6,1
SRV-00254,Ubuntu,85.3,54.8,41.4,1
SRV-00255,Fedora,76.8,,46.3,1
SRV-00256,Ubuntu,14.4,,63.8,0
SRV-00257,,2.4,20.7,NaN,1
SRV-00258,Arch,43.6,31.9,,0
SRV-00259,Fedora,22.3,45.8,53.1,0
SRV-00260,Ubuntu,6.6,16.9,405.7,0
SRV-00261,Arch,61.8,33.2,46.9,1
SRV-00262,Fedora,36.4,58.4,270.4,0
SRV-00263,CachyOS,16.3,7.4,43.5,0
SRV-00264,Ubuntu,83.8,8.3,87.6,1
SRV-00265,CachyOS,93.7,22.6,54.8,1
SRV-00266,Fedora,12.9,11.0,67.6,1
SRV-00267,Ubuntu,84.8,31.4,87.5,0
SRV-00268,Fedora,95.9,45.1,72.3,1
SRV-00269,Ubuntu,3.1,32.2,78.3,0
SRV-00270,CachyOS,40.7,29.2,58.0,0
SRV-00271,Ubuntu,55.5,40.0,62.1,1
SRV-00272,Fedora,83.1,46.1,,1
SRV-00273,Arch,54.6,32.0,77.7,0
SRV-00274,CachyOS,22.7,48.7,70.4,1
SRV-00275,Fedora,94.5,28.3,89.9,0
SRV-00276,Fedora,11.9,56.5,68.8,1
SRV-00277,CachyOS,79.3,33.3,64.7,0
SRV-00278,Arch,67.9,62.4,64.3,1
SRV-00279,CachyOS,66.7,,35.1,1
SRV-00280,Fedora,96.4,50.4,64.3,0
SRV-00281,CachyOS,24.8,42.9,54.0,0
SRV-00282,,26.1,53.3,75.2,0
SRV-00283,Fedora,30.2,11.9,53.3,1
SRV-00284,,875.0,38.6,69.9,1
SRV-00285,Arch,52.4,11.0,55.0,1
SRV-00286,Fedora,93.2,48.4,35.7,0
SRV-00287,Arch,38.6,NaN,62.6,1
SRV-00288,Fedora,32.8,49.7,70.0,1
SRV-00289,Fedora,53.6,41.7,78.0,0
SRV-00290,Fedora,78.2,17.3,329.9,0
SRV-00291,Ubuntu,74.6,59.5,80.7,1
SRV-00292,Ubuntu,47.5,51.2,92.3,1
SRV-00293,Ubuntu,,38.6,91.4,1
SRV-00294,Fedora,17.5,12.4,85.1,1
SRV-00295,Ubuntu,29.9,31.7,36.6,0
SRV-00296,CachyOS,33.5,36.7,92.2,1
SRV-00297,Arch,14.9,23.6,65.0,0
SRV-00298,Fedora,27.3,2.2,30.1,0
SRV-00299,CachyOS,64.8,38.1,37.0,0
SRV-00300,Fedora,74.7,36.6,NaN,1
SRV-00301,Arch,37.5,23.8,58.5,1
SRV-00302,Arch,57.5,38.0,33.2,1
SRV-00303,Arch,48.7,9.8,33.2,1
SRV-00304,Ubuntu,65.5,43.5,67.6,0
SRV-00305,Fedora,14.9,11.5,62.6,1
SRV-00306,Fedora,45.1,53.3,81.2,1
SRV-00307,Arch,90.5,NaN,63.0,0
SRV-00308,Ubuntu,86.3,42.5,64.1,1
SRV-00309,Arch,86.0,31.4,51.5,0
SRV-00310,Arch,47.8,56.2,40.7,0
SRV-00311,CachyOS,64.8,10.8,45.0,1
SRV-00312,CachyOS,74.5,24.3,45.0,0
SRV-00313,Ubuntu,73.8,14.5,50.7,0
SRV-00314,Ubuntu,79.2,6.6,52.8,1
SRV-00315,Arch,70.3,41.3,41.5,0
SRV-00316,Fedora,61.1,62.5,46.5,0
SRV-00317,Ubuntu,90.2,37.7,82.6,1
SRV-00318,Arch,18.8,22.4,62.4,1
SRV-00319,CachyOS,56.1,29.9,67.3,0
SRV-00320,Fedora,78.8,45.2,47.2,0
SRV-00321,Arch,23.0,59.6,77.4,0
SRV-00322,Fedora,82.3,5.9,61.0,1
SRV-00323,Arch,49.3,31.9,89.4,0
SRV-00324,CachyOS,47.9,44.2,93.4,0
SRV-00325,CachyOS,57.8,35.6,59.6,0
SRV-00326,Arch,37.0,62.7,82.6,1
SRV-00327,Fedora,47.4,57.3,63.8,0
SRV-00328,Fedora,7.8,29.3,52.2,0
SRV-00329,Arch,85.3,41.9,80.3,1
SRV-00330,CachyOS,60.9,41.4,56.3,0
SRV-00331,Fedora,32.1,25.9,80.3,1
SRV-00332,Fedora,84.0,47.9,42.1,1
SRV-00333,Ubuntu,76.0,39.9,90.4,1
SRV-00334,Fedora,568.2,58.7,59.3,0
SRV-00335,Fedora,58.7,28.4,63.8,0
SRV-00336,Arch,562.3,48.8,47.2,1
SRV-00337,CachyOS,78.6,12.9,57.3,1
SRV-00338,Ubuntu,42.5,51.9,47.1,0
SRV-00339,Arch,12.6,32.0,38.2,1
SRV-00340,CachyOS,71.8,22.5,81.6,1
SRV-00341,Fedora,7.4,13.1,82.8,0
SRV-00342,CachyOS,25.7,6.9,42.0,0
SRV-00343,Ubuntu,73.5,19.8,31.5,1
SRV-00344,Fedora,78.3,62.0,74.3,0
SRV-00345,Ubuntu,67.9,4.8,38.3,1
SRV-00346,Arch,79.3,23.6,88.2,1
SRV-00347,Fedora,54.2,38.7,38.7,1
SRV-00348,CachyOS,72.4,40.1,32.2,1
SRV-00349,Fedora,60.9,34.0,84.0,1
SRV-00350,Ubuntu,56.8,45.2,52.5,0
SRV-00351,Ubuntu,46.9,57.1,81.2,0
SRV-00352,Ubuntu,92.7,34.5,63.3,1
SRV-00353,Arch,66.8,50.9,61.8,1
SRV-00354,Arch,83.1,21.4,64.6,1
SRV-00355,CachyOS,500.1,2.0,87.7,1
SRV-00356,Arch,90.2,6.9,38.5,1
SRV-00357,Ubuntu,56.8,21.5,60.7,0
SRV-00358,Arch,5.6,59.1,86.9,0
SRV-00359,Ubuntu,62.9,21.1,49.9,1
SRV-00360,Ubuntu,23.3,6.2,31.3,0
SRV-00361,CachyOS,55.7,39.8,44.5,0
SRV-00362,CachyOS,42.7,2.5,94.2,0
SRV-00363,Fedora,21.2,8.1,91.6,0
SRV-00364,Ubuntu,31.3,14.3,78.3,0
SRV-00365,Ubuntu,26.5,18.1,91.3,1
SRV-00366,Ubuntu,30.1,33.0,88.6,0
SRV-00367,CachyOS,785.0,20.2,77.9,1
SRV-00368,Arch,79.9,NaN,65.2,0
SRV-00369,CachyOS,52.0,27.3,56.6,0
SRV-00370,Fedora,57.8,44.4,88.9,0
SRV-00371,Ubuntu,NaN,21.1,92.4,1
SRV-00372,Fedora,12.3,17.8,43.5,1
SRV-00373,CachyOS,70.4,9.7,429.4,1
SRV-00374,Fedora,74.7,55.6,49.8,0
SRV-00375,CachyOS,71.1,34.8,75.2,0
SRV-00376,Fedora,51.8,33.5,31.3,1
SRV-00377,CachyOS,30.3,30.2,34.1,0
SRV-00378,Arch,45.3,13.7,44.8,0
SRV-00379,CachyOS,62.9,62.4,38.7,1
SRV-00380,Fedora,17.6,20.4,92.4,0
SRV-00381,,75.5,51.9,61.1,1
SRV-00382,Ubuntu,25.5,53.0,37.9,1
SRV-00383,Ubuntu,6.7,39.5,67.9,1
SRV-00384,Ubuntu,75.8,48.8,32.4,1
SRV-00385,Fedora,68.8,40.6,60.4,1
SRV-00386,Arch,26.9,39.7,76.9,0
SRV-00387,Fedora,2.2,54.4,94.9,0
SRV-00388,,21.3,32.9,28.4,0
SRV-00389,Fedora,33.7,51.2,60.3,1
SRV-00390,CachyOS,91.1,43.7,29.3,1
SRV-00391,Fedora,28.9,54.1,54.1,1
SRV-00392,Arch,41.7,60.9,48.3,0
SRV-00393,Ubuntu,78.7,31.5,48.8,0
SRV-00394,Ubuntu,,59.7,NaN,1
SRV-00395,Arch,63.3,34.5,73.0,0
SRV-00396,Arch,54.7,37.2,48.9,0
SRV-00397,Ubuntu,12.2,38.6,84.0,0
SRV-00398,Ubuntu,95.5,52.2,59.4,1
SRV-00399,Fedora,15.8,12.6,50.1,0
SRV-00400,Arch,48.0,37.2,55.2,0
SRV-00401,CachyOS,40.5,62.4,50.8,1
SRV-00402,Arch,54.3,59.6,60.6,1
SRV-00403,CachyOS,8.7,24.9,72.2,0
SRV-00404,Fedora,45.5,14.0,48.1,1
SRV-00405,Arch,97.1,54.4,,1
SRV-00406,Arch,85.1,21.0,53.6,0
SRV-00407,Arch,82.6,9.5,29.1,0
SRV-00408,CachyOS,84.6,40.3,56.4,1
SRV-00409,CachyOS,83.3,35.4,93.5,1
SRV-00410,Ubuntu,15.6,50.1,33.2,0
SRV-00411,Arch,,29.6,66.5,1
SRV-00412,Ubuntu,68.7,17.4,66.7,0
SRV-00413,Ubuntu,14.2,39.8,45.2,0
SRV-00414,Arch,79.6,51.4,51.0,0
SRV-00415,CachyOS,76.0,14.3,51.1,0
SRV-00416,CachyOS,30.9,24.9,,1
SRV-00417,Arch,94.3,41.2,56.9,1
SRV-00418,Arch,64.8,47.3,41.1,0
SRV-00419,Ubuntu,3.1,14.8,40.9,0
SRV-00420,Ubuntu,70.0,42.4,65.9,1
SRV-00421,Ubuntu,63.3,57.9,49.7,1
SRV-00422,Ubuntu,26.8,62.7,54.3,1
SRV-00423,Ubuntu,89.6,37.0,57.9,0
SRV-00424,Arch,,45.6,60.0,0
SRV-00425,Ubuntu,38.9,34.7,50.3,0
SRV-00426,Arch,9.7,12.1,53.7,1
SRV-00427,CachyOS,72.6,38.4,32.2,1
SRV-00428,Ubuntu,5.6,8.4,72.7,0
SRV-00429,Fedora,90.8,30.7,31.1,0
SRV-00430,Ubuntu,45.8,7.7,81.5,1
SRV-00431,Fedora,32.9,11.9,46.4,0
SRV-00432,Ubuntu,14.8,10.9,33.4,1
SRV-00433,CachyOS,68.5,27.0,68.9,0
SRV-00434,Arch,35.4,34.4,52.2,0
SRV-00435,Fedora,12.8,32.3,89.8,1
SRV-00436,CachyOS,6.2,50.5,35.8,1
SRV-00437,Arch,24.1,27.0,87.7,1
SRV-00438,CachyOS,19.1,23.6,50.5,0
SRV-00439,CachyOS,42.1,10.9,91.8,0
SRV-00440,CachyOS,84.8,1.9,86.5,0
SRV-00441,Ubuntu,42.1,32.8,54.4,1
SRV-00442,Ubuntu,68.5,16.1,29.1,0
SRV-00443,CachyOS,76.1,24.3,70.4,1
SRV-00444,Arch,42.9,51.1,33.4,1
SRV-00445,Ubuntu,38.8,41.8,65.6,0
SRV-00446,Fedora,74.3,32.7,31.6,0
SRV-00447,Arch,45.4,62.6,40.6,0
SRV-00448,Ubuntu,12.5,56.1,70.0,0
SRV-00449,CachyOS,44.6,55.9,91.5,1
SRV-00450,CachyOS,46.0,50.7,52.9,1
SRV-00451,Fedora,61.4,12.0,88.6,1
SRV-00452,CachyOS,NaN,21.0,53.0,0
SRV-00453,CachyOS,75.8,62.1,62.0,0
SRV-00454,CachyOS,34.5,43.7,29.7,1
SRV-00455,Fedora,58.0,2.4,57.8,0
SRV-00456,Ubuntu,89.2,24.3,47.1,0
SRV-00457,CachyOS,73.2,46.9,76.8,0
SRV-00458,CachyOS,96.9,38.2,28.4,1
SRV-00459,Fedora,21.1,52.8,67.2,0
SRV-00460,Arch,93.8,57.2,61.0,1
SRV-00461,Ubuntu,59.5,17.2,93.3,0
SRV-00462,Fedora,57.8,23.5,NaN,1
SRV-00463,Ubuntu,51.3,48.4,86.5,1
SRV-00464,Arch,81.0,31.5,89.0,0
SRV-00465,Ubuntu,42.1,2.1,74.3,1
SRV-00466,Arch,4.8,10.0,36.4,0
SRV-00467,CachyOS,74.7,33.3,36.0,0
SRV-00468,Fedora,NaN,10.2,46.6,0
SRV-00469,Ubuntu,731.3,13.1,88.4,0
SRV-00470,CachyOS,37.2,12.4,53.4,1
SRV-00471,Ubuntu,51.9,46.5,61.1,1
SRV-00472,CachyOS,29.9,54.0,73.5,0
SRV-00473,Ubuntu,13.4,47.7,39.3,1
SRV-00474,CachyOS,71.6,18.2,71.1,1
SRV-00475,Arch,16.1,15.5,30.0,0
SRV-00476,CachyOS,60.0,48.9,62.8,1
SRV-00477,Arch,,49.1,87.0,1
SRV-00478,Ubuntu,19.0,11.3,48.9,1
SRV-00479,CachyOS,47.7,32.2,69.3,0
SRV-00480,Fedora,NaN,57.2,34.5,0
SRV-00481,Arch,58.9,NaN,49.8,1
SRV-00482,CachyOS,58.4,37.1,34.7,1
SRV-00483,Arch,36.9,50.6,63.9,1
SRV-00484,Ubuntu,70.9,36.7,56.6,1
SRV-00485,Arch,21.2,49.1,29.2,0
SRV-00486,CachyOS,27.7,58.1,76.7,0
SRV-00487,Arch,83.0,40.9,45.9,0
SRV-00488,Ubuntu,16.4,31.6,56.3,0
SRV-00489,Arch,65.2,NaN,85.6,1
SRV-00490,Ubuntu,40.1,37.0,36.1,1
SRV-00491,Ubuntu,24.9,37.8,78.1,0
SRV-00492,Arch,44.2,24.6,49.2,0
SRV-00493,Arch,80.9,54.0,91.0,1
SRV-00494,Arch,88.7,,92.4,0
SRV-00495,Fedora,89.9,26.6,86.1,1
SRV-00496,Arch,70.9,45.0,51.6,1
SRV-00497,Ubuntu,63.6,1.2,48.5,0
SRV-00498,CachyOS,78.1,17.4,83.4,0
SRV-00499,CachyOS,92.7,59.2,70.0,0
SRV-00500,CachyOS,59.6,,63.2,1
SRV-00501,Fedora,20.3,32.1,85.4,0
SRV-00502,CachyOS,78.1,29.4,67.1,1
SRV-00503,CachyOS,67.9,17.1,31.9,0
SRV-00504,,50.4,9.3,30.8,1
SRV-00505,Fedora,10.6,20.7,61.4,1
SRV-00506,Arch,60.8,57.2,94.6,1
SRV-00507,Fedora,7.2,30.4,88.0,1
SRV-00508,Ubuntu,83.2,55.7,39.3,0
SRV-00509,Ubuntu,52.5,49.4,87.5,1
SRV-00510,Ubuntu,82.3,42.6,378.3,1
SRV-00511,Fedora,22.3,4.5,91.8,1
SRV-00512,Fedora,17.6,42.2,60.9,0
SRV-00513,Ubuntu,81.9,31.0,56.3,1
SRV-00514,Ubuntu,5.9,44.2,61.2,1
SRV-00515,CachyOS,30.8,16.7,66.1,1
SRV-00516,CachyOS,65.4,6.2,35.6,1
SRV-00517,CachyOS,86.2,43.2,45.8,0
SRV-00518,Arch,,8.4,60.0,1
SRV-00519,Arch,68.3,6.5,40.8,0
SRV-00520,Fedora,64.4,13.0,59.0,0
SRV-00521,CachyOS,94.5,13.7,215.3,1
SRV-00522,CachyOS,72.8,31.7,67.6,1
SRV-00523,Ubuntu,52.7,57.3,59.7,1
SRV-00524,Arch,71.7,38.0,89.8,1
SRV-00525,CachyOS,94.1,51.1,84.6,1
SRV-00526,Fedora,17.0,32.1,65.3,0
SRV-00527,Ubuntu,79.5,36.4,94.6,1
SRV-00528,Ubuntu,69.8,54.0,35.1,0
