aficionado_id,ciudad_sede,costo_vuelo_usd,costo_hotel_usd,dias_estadia,presupuesto_excedido
FAN-00114,Monterrey,865.14,710.96,1,0
FAN-00115,CDMX,1158.87,555.05,13,1
FAN-00116,Monterrey,1281.47,138.53,12,0
FAN-00117,Monterrey,1311.91,182.12,NaN,0
FAN-00118,Miami,NaN,90860.73,9,1
FAN-00119,CDMX,2275.02,491.95,3,0
FAN-00120,CDMX,1645.88,869.66,4,1
FAN-00121,Monterrey,1156.07,837.23,4,0
FAN-00122,Monterrey,1511.35,515.93,8,1
FAN-00123,CDMX,500.44,692.39,5,0
FAN-00124,Monterrey,1595.86,898.72,3,1
FAN-00125,Miami,2368.71,658.03,11,0
FAN-00126,CDMX,948.44,356.94,10,1
FAN-00127,Monterrey,2396.6,89.53,13,0
FAN-00128,CDMX,,630.69,7,1
FAN-00129,CDMX,243.72,361.37,3,1
FAN-00130,Monterrey,2419.51,134.63,9,1
FAN-00131,CDMX,787.79,217.49,12,1
FAN-00132,CDMX,1894.74,100.39,3,1
FAN-00133,Miami,356.02,883.83,7,0
FAN-00134,Monterrey,302.55,535.89,9,0
FAN-00135,CDMX,2254.48,379.41,2,0
FAN-00136,Miami,1628.41,697.68,4,0
FAN-00137,Monterrey,1395.18,,12,0
FAN-00138,Monterrey,150.26,277.52,1,0
FAN-00139,Miami,905.77,171.06,13,1
FAN-00140,CDMX,1239.34,638.59,4,0
FAN-00141,Miami,,556.56,7,1
FAN-00142,Monterrey,164.72,647.81,14,1
FAN-00143,Monterrey,2266.36,131.41,5,0
FAN-00144,CDMX,1346.2,597.66,13,0
FAN-00145,Monterrey,2465.19,272.68,6,0
FAN-00146,Miami,,778.82,1,1
FAN-00147,Miami,2379.42,371.32,12,0
FAN-00148,Miami,1670.06,143.78,13,0
FAN-00149,Monterrey,2016.52,142.01,14,1
FAN-00150,Miami,648.38,755.24,11,0
FAN-00151,Miami,2373.41,127.34,6,1
FAN-00152,CDMX,2167.06,130.36,13,1
FAN-00153,Monterrey,793.7,291.78,2,0
FAN-00154,CDMX,893.98,139.47,1,0
FAN-00155,CDMX,2246.12,104.58,11,1
FAN-00156,Monterrey,1694.07,282.42,,0
FAN-00157,Miami,1071.69,295.84,12,0
FAN-00158,Monterrey,1666.7,416.57,9,0
FAN-00159,Monterrey,231.18,878.92,3,1
FAN-00160,Monterrey,2462.23,366.9,12,0
FAN-00161,Monterrey,773.79,622.97,12,0
FAN-00162,CDMX,1905.84,878.32,13,0
FAN-00163,CDMX,686.81,253.03,5,0
FAN-00164,CDMX,542.9,833.05,12,0
FAN-00165,Miami,761.5,127.96,1,1
FAN-00166,Monterrey,1947.37,273.68,14,0
FAN-00167,Miami,1813.34,591.83,4,0
FAN-00168,Miami,738.44,182.88,11,0
FAN-00169,Monterrey,1221.84,823.46,2,1
FAN-00170,Monterrey,1324.27,728.6,8,0
FAN-00171,Monterrey,190.29,708.41,5,1
FAN-00172,CDMX,268.68,884.64,10,0
FAN-00173,Miami,334.29,644.87,4,0
FAN-00174,CDMX,2154.81,522.83,13,0
FAN-00175,CDMX,NaN,695.88,13,0
FAN-00176,Monterrey,1603.23,548.31,1,0
FAN-00177,CDMX,201.28,867.58,8,1
FAN-00178,CDMX,1134.18,782.17,10,0
FAN-00179,Miami,843.4,247.0,7,1
FAN-00180,Monterrey,367.81,207.29,5,1
FAN-00181,Monterrey,656.41,426.57,5,0
FAN-00182,Miami,,628.36,12,1
FAN-00183,CDMX,1508.43,233.75,5,1
FAN-00184,CDMX,864.06,351.71,11,1
FAN-00185,CDMX,1765.63,533.55,11,0
FAN-00186,CDMX,1166.31,559.94,2,0
FAN-00187,Monterrey,1034.97,864.92,14,1
FAN-00188,CDMX,,676.48,8,0
FAN-00189,Miami,2154.38,196.22,1,1
FAN-00190,Monterrey,,480.75,14,0
FAN-00191,CDMX,1180.78,707.21,3,0
FAN-00192,Miami,1080.01,233.9,7,1
FAN-00193,Monterrey,2371.19,120.54,,1
FAN-00194,Miami,2161.16,122.05,14,0
FAN-00195,Monterrey,2368.64,752.41,6,1
FAN-00196,CDMX,2354.04,602.99,3,1
FAN-00197,CDMX,1822.51,882.58,2,1
FAN-00198,Miami,1597.37,65529.68,3,1
FAN-00199,Monterrey,2337.25,742.81,2,0
FAN-00200,CDMX,2207.02,898.81,2,1
FAN-00201,Miami,2113.43,93.96,9,1
FAN-00202,Miami,1667.42,360.7,5,1
FAN-00203,CDMX,540.24,797.53,NaN,1
FAN-00204,Monterrey,1417.94,489.23,13,0
FAN-00205,CDMX,1668.09,724.26,1,1
FAN-00206,CDMX,1839.19,346.12,5,0
FAN-00207,Miami,1610.94,189.37,12,1
FAN-00208,CDMX,2479.38,630.42,6,1
FAN-00209,Miami,1157.88,354.5,8,0
FAN-00210,Monterrey,1295.06,511.79,6,0
FAN-00211,Monterrey,2385.6,261.89,9,1
FAN-00212,CDMX,860.9,745.8,12,1
FAN-00213,Miami,410.28,566.05,9,0
FAN-00214,Monterrey,2363.94,427.34,14,0
FAN-00215,CDMX,1261.89,513.18,6,1
FAN-00216,CDMX,2071.62,664.44,9,0
FAN-00217,Miami,349.5,482.48,13,1
FAN-00218,Miami,1739.37,824.97,11,1
FAN-00219,Monterrey,1170.97,115.13,6,1
FAN-00220,Miami,546.35,516.51,6,1
FAN-00221,CDMX,1490.31,146.69,NaN,1
FAN-00222,CDMX,1563.8,310.16,2,0
FAN-00223,CDMX,2006.66,,13,1
FAN-00224,CDMX,915.28,273.25,1,1
FAN-00225,CDMX,1260.6,417.97,4,1
FAN-00226,Monterrey,445.83,349.24,9,1
FAN-00227,Monterrey,1756.66,248.7,5,0
FAN-00228,Monterrey,1008.66,543.58,14,0
FAN-00229,Miami,722.63,660.28,3,0
FAN-00230,CDMX,1084.24,235.24,1,1
FAN-00231,CDMX,438.17,258.28,6,1
FAN-00232,Monterrey,1291.44,510.83,6,0
FAN-00233,CDMX,342.31,757.73,4,1
FAN-00234,Monterrey,2278.55,359.98,12,1
FAN-00235,Monterrey,554.94,239.48,7,1
FAN-00236,CDMX,1003.25,547.02,3,1
FAN-00237,Monterrey,928.33,604.88,6,0
FAN-00238,Monterrey,484.58,560.67,14,1
FAN-00239,CDMX,226.58,538.38,10,1
FAN-00240,CDMX,1438.58,782.22,7,1
FAN-00241,Monterrey,1623.31,788.79,3,0
FAN-00242,Miami,607.1,350.53,1,0
FAN-00243,Monterrey,2104.84,728.89,13,0
FAN-00244,Monterrey,230.56,864.98,11,1
FAN-00245,Monterrey,2446.42,579.59,3,0
FAN-00246,Monterrey,171.84,346.38,9,1
FAN-00247,CDMX,405.33,563.56,12,0
FAN-00248,Miami,536.96,555.79,2,0
FAN-00249,CDMX,584.66,816.17,13,0
FAN-00250,Miami,1625.23,239.52,8,0
FAN-00251,Miami,520.93,726.56,5,1
FAN-00252,Monterrey,362.71,390.18,1,1
FAN-00253,Monterrey,654.37,588.57,8,1
FAN-00254,Monterrey,1586.57,576.34,1,1
FAN-00255,Miami,1607.51,368.33,14,0
FAN-00256,Monterrey,1289.76,426.0,10,0
FAN-00257,Monterrey,1946.14,406.73,1,1
FAN-00258,CDMX,656.68,164.46,5,0
FAN-00259,Miami,2242.97,859.03,1,1
FAN-00260,Monterrey,599.16,283.6,2,0
FAN-00261,CDMX,1980.91,93558.43,14,0
FAN-00262,CDMX,1061.77,719.61,14,1
FAN-00263,Monterrey,999.63,155.62,10,0
FAN-00264,CDMX,151.63,NaN,9,0
FAN-00265,Miami,840.34,,11,1
FAN-00266,CDMX,2247.67,295.56,4,1
FAN-00267,CDMX,628.92,460.95,6,0
FAN-00268,Monterrey,989.63,693.11,14,0
FAN-00269,CDMX,991.85,367.42,13,1
FAN-00270,CDMX,2363.61,827.21,2,0
FAN-00271,Miami,2495.67,186.21,5,1
FAN-00272,CDMX,913.6,477.36,12,0
FAN-00273,Miami,1762.81,145.66,5,1
FAN-00274,Monterrey,487.64,410.71,5,0
FAN-00275,Monterrey,1321.41,634.91,10,1
FAN-00276,Miami,1504.58,142.77,9,0
FAN-00277,Miami,1476.09,659.79,4,1
FAN-00278,Miami,1301.27,544.39,8,1
FAN-00279,Miami,1559.0,746.11,1,1
FAN-00280,Monterrey,,,10,1
FAN-00281,Miami,696.86,706.83,9,0
FAN-00282,Miami,381.97,866.19,14,1
FAN-00283,Miami,1285.94,835.4,6,0
FAN-00284,Miami,1384.94,74275.6,13,1
FAN-00285,CDMX,1231.55,586.68,14,1
FAN-00286,Monterrey,2366.05,82.02,5,0
FAN-00287,CDMX,933.78,516.65,14,1
FAN-00288,Miami,1677.08,576.52,8,1
FAN-00289,CDMX,1888.83,557.16,7,0
FAN-00290,CDMX,1192.23,761.92,1,0
FAN-00291,Miami,1880.72,299.49,8,0
FAN-00292,Monterrey,1790.56,864.42,9,0
FAN-00293,Miami,1142.06,591.39,13,1
FAN-00294,CDMX,2066.84,330.19,12,1
FAN-00295,CDMX,338.43,667.12,14,0
FAN-00296,Miami,655.68,769.93,10,1
FAN-00297,CDMX,1965.4,857.79,10,0
FAN-00298,Miami,1157.05,381.47,7,1
FAN-00299,Monterrey,950.73,314.15,7,0
FAN-00300,CDMX,527.02,649.21,13,1
FAN-00301,Miami,1931.14,307.16,11,1
FAN-00302,Miami,1169.25,101.05,10,0
FAN-00303,CDMX,905.63,323.76,5,0
FAN-00304,CDMX,1392.86,164.59,6,0
FAN-00305,Miami,1671.46,541.17,1,0
FAN-00306,CDMX,1616.96,,12,0
FAN-00307,Monterrey,1216.98,771.66,12,0
FAN-00308,CDMX,1180.71,380.04,1,0
FAN-00309,Monterrey,515.83,61181.2,9,0
FAN-00310,Monterrey,1101.56,,5,0
FAN-00311,CDMX,1765.82,746.46,5,1
FAN-00312,Miami,1745.24,562.92,4,1
FAN-00313,CDMX,1795.55,742.19,NaN,0
FAN-00314,Miami,282.16,688.31,4,1
FAN-00315,Miami,1511.51,792.53,13,0
FAN-00316,Monterrey,,491.99,9,0
FAN-00317,CDMX,1787.95,484.65,8,1
FAN-00318,CDMX,1594.85,872.11,7,1
FAN-00319,Miami,859.51,567.83,4,1
FAN-00320,Miami,1215.12,256.0,9,0
FAN-00321,Monterrey,1733.06,762.63,6,1
FAN-00322,Miami,1092.98,256.02,8,0
FAN-00323,CDMX,1952.62,63566.81,1,1
FAN-00324,Miami,1532.46,415.31,13,0
FAN-00325,Monterrey,2429.52,525.63,7,1
FAN-00326,CDMX,943.32,659.65,12,0
FAN-00327,Miami,1475.09,158.68,7,0
FAN-00328,CDMX,638.2,436.88,12,1
FAN-00329,CDMX,1169.37,177.85,13,0
FAN-00330,Monterrey,798.1,344.72,5,0
FAN-00331,Monterrey,1717.77,554.17,5,0
FAN-00332,Monterrey,478.83,92.83,,1
FAN-00333,CDMX,811.87,860.16,10,1
FAN-00334,Monterrey,2050.96,779.74,1,1
FAN-00335,CDMX,1433.42,418.89,10,0
FAN-00336,Miami,559.84,431.02,4,0
FAN-00337,CDMX,725.86,275.23,2,0
FAN-00338,CDMX,1884.67,163.1,1,1
FAN-00339,Miami,881.14,317.03,1,1
FAN-00340,CDMX,2216.13,154.62,5,1
FAN-00341,CDMX,2352.51,229.61,7,0
FAN-00342,Monterrey,872.08,700.19,1,1
FAN-00343,Miami,1296.77,91.55,11,0
FAN-00344,Miami,491.06,838.11,3,1
FAN-00345,CDMX,1123.38,457.31,2,0
FAN-00346,CDMX,776.21,324.96,2,1
FAN-00347,Miami,610.78,761.54,1,1
FAN-00348,Miami,1178.99,149.41,5,0
FAN-00349,CDMX,1310.29,285.26,1,0
FAN-00350,Monterrey,205.22,133.62,11,1
FAN-00351,CDMX,1890.17,752.18,11,0
FAN-00352,CDMX,2415.36,535.23,4,0
FAN-00353,CDMX,466.02,432.08,,0
FAN-00354,Miami,789.55,492.44,12,1
FAN-00355,Monterrey,1200.06,172.57,12,1
FAN-00356,CDMX,1628.01,820.24,4,1
FAN-00357,CDMX,1212.66,824.0,8,1
FAN-00358,CDMX,2326.83,212.65,6,1
FAN-00359,Miami,2125.53,363.46,5,1
FAN-00360,Monterrey,521.82,57149.68,11,1
FAN-00361,Monterrey,1101.96,86.57,11,1
FAN-00362,CDMX,790.95,88.7,12,1
FAN-00363,CDMX,337.21,429.46,NaN,0
FAN-00364,Miami,961.48,,4,0
FAN-00365,Miami,1171.06,111.94,13,1
FAN-00366,CDMX,,416.8,6,1
FAN-00367,CDMX,NaN,471.81,5,1
FAN-00368,Miami,1947.62,628.18,6,1
FAN-00369,Miami,1556.45,220.84,10,1
FAN-00370,CDMX,797.77,611.65,6,0
FAN-00371,Miami,358.0,130.13,5,0
FAN-00372,Miami,1556.75,822.78,2,1
FAN-00373,Miami,1399.64,253.53,NaN,0
FAN-00374,Monterrey,990.13,230.51,8,1
FAN-00375,CDMX,745.68,315.74,12,1
FAN-00376,Miami,NaN,457.88,9,0
FAN-00377,Monterrey,1796.75,261.66,8,0
FAN-00378,CDMX,1866.68,744.94,2,0
FAN-00379,Monterrey,1623.46,592.12,14,1
FAN-00380,Monterrey,2357.04,351.79,14,0
FAN-00381,Miami,2043.63,,5,1
FAN-00382,Miami,716.17,644.84,14,0
FAN-00383,CDMX,153.0,132.34,9,0
FAN-00384,Miami,887.18,502.05,6,0
FAN-00385,Monterrey,778.01,767.62,9,1
FAN-00386,Miami,2104.27,292.16,12,0
FAN-00387,CDMX,511.3,379.88,14,0
FAN-00388,Monterrey,,271.16,5,1
FAN-00389,Monterrey,1185.05,889.41,7,0
FAN-00390,CDMX,1192.96,NaN,11,1
FAN-00391,CDMX,2396.52,470.41,3,0
FAN-00392,Monterrey,1454.28,539.65,6,1
FAN-00393,Monterrey,1364.61,800.74,13,1
FAN-00394,Miami,1515.34,763.56,9,0
FAN-00395,Monterrey,1813.25,620.92,10,0
FAN-00396,CDMX,771.15,174.48,7,0
FAN-00397,Monterrey,2243.76,355.64,5,0
FAN-00398,Monterrey,978.57,694.26,13,0
FAN-00399,Miami,215.76,205.43,1,0
FAN-00400,CDMX,806.35,255.06,6,1
FAN-00401,Monterrey,357.38,328.31,6,0
FAN-00402,Monterrey,927.34,769.72,1,0
FAN-00403,Monterrey,1290.17,336.17,8,0
FAN-00404,CDMX,248.05,109.79,6,1
FAN-00405,Miami,777.81,725.52,1,0
FAN-00406,Miami,1300.64,138.17,6,0
FAN-00407,Miami,2145.61,189.28,7,1
FAN-00408,CDMX,1721.94,190.94,8,1
FAN-00409,Monterrey,642.96,170.89,3,0
FAN-00410,CDMX,283.64,NaN,10,1
FAN-00411,Monterrey,NaN,557.22,14,0
FAN-00412,CDMX,257.79,847.66,6,0
FAN-00413,Miami,832.98,163.2,,0
FAN-00414,Miami,2413.51,88207.75,13,0
FAN-00415,Miami,1464.02,205.11,4,1
FAN-00416,CDMX,1418.65,481.53,14,1
FAN-00417,Monterrey,2491.69,245.62,NaN,1
FAN-00418,Monterrey,1800.55,712.26,11,1
FAN-00419,CDMX,1828.11,NaN,1,0
FAN-00420,Miami,2060.04,583.34,12,1
FAN-00421,CDMX,203.94,440.21,4,0
FAN-00422,CDMX,1577.31,83073.48,7,0
FAN-00423,CDMX,1722.01,611.94,1,0
FAN-00424,CDMX,1083.14,166.25,NaN,0
FAN-00425,CDMX,2170.19,522.31,2,1
FAN-00426,CDMX,366.42,653.4,2,1
FAN-00427,Miami,2010.38,624.81,3,0
FAN-00428,CDMX,2064.9,608.68,8,0
FAN-00429,Monterrey,1097.5,885.39,14,0
FAN-00430,Miami,1086.88,582.9,14,1
FAN-00431,Monterrey,,518.53,2,0
FAN-00432,Monterrey,1964.45,599.21,6,0
FAN-00433,CDMX,947.28,465.59,7,0
FAN-00434,CDMX,964.86,535.43,9,0
FAN-00435,Monterrey,1140.8,780.09,8,0
FAN-00436,Miami,2098.48,851.2,11,0
FAN-00437,Miami,601.81,212.75,12,0
FAN-00438,Miami,305.54,295.6,13,0
FAN-00439,CDMX,519.05,874.96,8,1
FAN-00440,Monterrey,2402.96,365.69,5,0
FAN-00441,Monterrey,305.36,708.87,11,0
FAN-00442,Monterrey,1005.49,289.06,11,1
FAN-00443,CDMX,2133.31,361.32,3,1
FAN-00444,CDMX,1049.65,822.05,3,1
FAN-00445,Miami,812.6,414.77,3,1
FAN-00446,Monterrey,1793.72,57283.47,11,1
FAN-00447,Miami,457.05,791.55,13,0
FAN-00448,CDMX,943.1,798.5,11,0
FAN-00449,Monterrey,1535.96,NaN,11,1
FAN-00450,CDMX,825.23,570.93,10,0
FAN-00451,CDMX,509.49,318.03,14,1
FAN-00452,CDMX,2303.77,837.95,12,1
FAN-00453,Monterrey,1507.59,391.46,11,0
FAN-00454,Monterrey,1622.63,526.65,NaN,0
FAN-00455,Monterrey,1626.64,324.4,7,1
FAN-00456,Miami,1923.88,558.79,10,0
FAN-00457,Monterrey,1086.6,109.18,1,0
FAN-00458,Monterrey,1657.38,415.62,,1
FAN-00459,CDMX,1054.14,625.17,8,1
FAN-00460,Monterrey,1811.45,NaN,,1
FAN-00461,CDMX,1962.64,654.84,11,1
FAN-00462,Monterrey,1637.82,315.46,2,0
FAN-00463,CDMX,2361.61,298.02,1,0
FAN-00464,CDMX,2270.74,734.32,6,1
FAN-00465,CDMX,1355.09,862.19,6,0
FAN-00466,Miami,2011.45,324.39,4,0
FAN-00467,Monterrey,936.86,200.72,4,1
FAN-00468,Monterrey,2022.97,437.84,6,0
FAN-00469,CDMX,NaN,467.66,12,1
FAN-00470,Monterrey,2483.14,867.01,13,1
FAN-00471,Miami,1418.91,621.1,13,0
FAN-00472,CDMX,317.36,398.63,1,1
FAN-00473,CDMX,803.96,126.88,6,0
FAN-00474,Miami,2371.63,728.53,1,1
FAN-00475,Monterrey,514.74,99417.78,14,0
FAN-00476,Monterrey,1562.16,NaN,9,0
FAN-00477,Miami,1420.23,92185.53,12,1
FAN-00478,CDMX,594.53,537.69,2,1
FAN-00479,Miami,610.4,353.64,11,1
FAN-00480,CDMX,798.15,823.18,3,1
FAN-00481,Monterrey,1054.59,838.25,2,0
FAN-00482,Miami,1491.18,562.94,2,0
FAN-00483,CDMX,193.44,715.52,5,0
FAN-00484,Monterrey,1607.07,311.35,NaN,0
FAN-00485,Monterrey,350.37,591.52,13,0
FAN-00486,Miami,1560.52,499.6,7,0
FAN-00487,Monterrey,2455.63,765.79,9,1
FAN-00488,Miami,1529.41,443.48,8,1
FAN-00489,Miami,397.72,563.84,12,0
FAN-00490,Monterrey,2270.44,236.19,9,0
FAN-00491,Miami,521.66,841.54,5,0
FAN-00492,Miami,2439.78,61429.53,10,1
FAN-00493,Miami,1841.78,469.64,11,0
FAN-00494,Monterrey,1904.43,664.26,9,1
FAN-00495,CDMX,2441.75,863.35,14,0
FAN-00496,CDMX,288.08,869.09,5,0
FAN-00497,Miami,614.21,76502.33,13,1
FAN-00498,CDMX,1891.87,644.2,12,0
FAN-00499,Monterrey,2442.65,810.37,4,0
FAN-00500,Miami,1903.22,208.71,2,1
FAN-00501,Miami,1760.19,817.86,6,1
FAN-00502,Monterrey,1594.73,398.46,1,0
FAN-00503,CDMX,1814.93,,4,1
FAN-00504,Miami,434.15,472.35,10,1
FAN-00505,Monterrey,636.07,433.33,4,1
FAN-00506,Monterrey,2311.85,86.89,5,1
FAN-00507,Miami,1473.69,358.57,5,0
FAN-00508,Miami,192.24,634.28,1,1
FAN-00509,Monterrey,400.28,265.01,4,0
FAN-00510,Monterrey,1651.33,622.29,5,0
FAN-00511,Monterrey,2116.45,618.35,7,1
FAN-00512,Miami,1709.98,417.03,7,1
FAN-00513,Miami,NaN,202.59,8,0
FAN-00514,Miami,1884.7,874.81,8,0
FAN-00515,Miami,257.46,83.81,6,1
FAN-00516,Miami,1841.84,632.3,5,0
FAN-00517,CDMX,2180.0,291.55,11,1
FAN-00518,Monterrey,2153.55,662.76,5,0
FAN-00519,Miami,NaN,534.72,13,1
FAN-00520,Monterrey,1080.53,662.93,9,0
FAN-00521,CDMX,1244.8,319.61,14,0
FAN-00522,CDMX,1219.78,800.07,1,1
FAN-00523,Miami,555.98,777.02,8,0
FAN-00524,Miami,2230.07,67845.57,14,0
FAN-00525,Miami,162.41,695.14,2,1
FAN-00526,Monterrey,1690.41,527.13,5,0
FAN-00527,CDMX,1800.93,55616.64,1,0
FAN-00528,Miami,1649.08,,2,0
FAN-00529,Monterrey,1539.64,564.7,14,0
FAN-00530,Miami,1744.61,318.72,9,0
FAN-00531,Monterrey,259.55,,2,0
FAN-00532,CDMX,2302.1,231.98,12,1
FAN-00533,Miami,163.21,197.33,2,0
FAN-00534,Miami,1552.78,252.75,10,0
FAN-00535,CDMX,1230.02,308.47,13,1
FAN-00536,CDMX,623.5,278.41,14,0
FAN-00537,Miami,404.77,842.86,6,1
FAN-00538,Monterrey,984.84,687.34,7,0
FAN-00539,Miami,1666.61,NaN,5,1
FAN-00540,Miami,1417.75,566.01,11,0
FAN-00541,Monterrey,154.37,686.12,13,1
FAN-00542,Miami,348.25,774.54,4,0
FAN-00543,Monterrey,1718.36,421.14,3,1
FAN-00544,CDMX,959.69,664.62,10,1
FAN-00545,CDMX,2453.2,404.93,10,1
FAN-00546,CDMX,1515.7,798.71,3,1
FAN-00547,CDMX,1263.06,214.58,1,1
FAN-00548,Miami,673.43,84.1,11,0
FAN-00549,Monterrey,1182.94,NaN,1,1
FAN-00550,Monterrey,1482.2,253.55,13,1
FAN-00551,Miami,949.59,364.64,13,0
FAN-00552,CDMX,635.78,136.46,4,0
FAN-00553,Monterrey,2443.57,76088.86,12,0
FAN-00554,CDMX,665.27,596.94,7,1
FAN-00555,CDMX,1145.46,269.39,1,1
FAN-00556,Monterrey,1177.5,803.23,4,0
FAN-00557,CDMX,416.38,545.69,7,0
FAN-00558,CDMX,317.33,641.02,5,1
FAN-00559,CDMX,1779.44,288.13,11,1
FAN-00560,CDMX,1846.86,385.62,14,1
FAN-00561,Miami,2229.44,135.73,3,1
FAN-00562,Monterrey,891.73,273.03,13,1
FAN-00563,CDMX,991.03,781.38,1,0
FAN-00564,CDMX,2153.34,77043.92,14,0
FAN-00565,Monterrey,1222.08,665.87,10,0
FAN-00566,Monterrey,1273.32,NaN,1,1
